ed,ct_adams,ct_cuomo,ct_lander,ct_ramos,ct_blake,ct_prince,ct_stringer,ct_bartholomew,ct_writein,ct_tilson,ct_myrie,ct_mamdani,ct_total_votes,pct_mamdani,pct_cuomo,pct_lander,pct_adams,pct_stringer,pct_myrie,pct_ramos,pct_blake,pct_prince,pct_tilson,pct_bartholomew,pct_writein,tied,num_top_candidates,winner,winner_name_full,NTAName
23011,9,72,6,1,1,1,1,1,0,2,1,69,164,0.42073170731707316,0.43902439024390244,0.036585365853658534,0.054878048780487805,0.006097561,0.006097561,0.006097561,0.006097561,0.006097561,0.012195121951219513,0.006097561,0,no,1,cuomo,Andrew Cuomo,Rockaway Beach-Arverne-Edgemere
23012,7,35,7,2,0,0,0,0,1,2,0,28,82,0.34146341463414637,0.4268292682926829,0.085365854,0.085365854,0,0,0.024390243902439025,0,0,0.024390243902439025,0,0.012195121951219513,no,1,cuomo,Andrew Cuomo,Rockaway Beach-Arverne-Edgemere
23013,14,65,19,0,1,2,4,0,1,1,5,86,198,0.43434343434343436,0.3282828282828283,0.095959596,0.070707071,0.020202020202020204,0.025252525252525252,0,0.005050505,0.010101010101010102,0.005050505,0,0.005050505,no,1,mamdani,Zohran Mamdani,Rockaway Beach-Arverne-Edgemere
23014,12,97,6,0,0,0,6,2,1,0,0,32,156,0.20512820512820512,0.6217948717948718,0.038461538461538464,0.076923077,0.038461538461538464,0,0,0,0,0,0.012820513,0.006410256,no,1,cuomo,Andrew Cuomo,Rockaway Beach-Arverne-Edgemere
23015,17,114,7,0,4,2,9,0,0,0,0,56,209,0.2679425837320574,0.5454545454545454,0.033492823,0.081339713,0.043062201,0,0,0.019138755980861243,0.009569378,0,0,0,no,1,cuomo,Andrew Cuomo,Rockaway Beach-Arverne-Edgemere
23016,13,60,10,1,0,2,3,0,1,0,0,41,131,0.31297709923664124,0.4580152671755725,0.076335878,0.099236641,0.022900763358778626,0,0.007633588,0,0.015267175572519083,0,0,0.007633588,no,1,cuomo,Andrew Cuomo,Rockaway Beach-Arverne-Edgemere
23017,2,59,9,0,0,0,3,0,2,2,0,21,98,0.21428571428571427,0.6020408163265306,0.091836735,0.020408163,0.030612244897959183,0,0,0,0,0.020408163,0,0.020408163,no,1,cuomo,Andrew Cuomo,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23018,22,104,31,2,5,0,7,0,0,3,2,127,303,0.41914191419141916,0.3432343234323432,0.10231023102310231,0.072607261,0.02310231,0.00660066,0.00660066,0.01650165,0,0.00990099,0,0,no,1,mamdani,Zohran Mamdani,Rockaway Beach-Arverne-Edgemere
23019,2,15,2,0,0,0,1,1,1,0,0,14,36,0.3888888888888889,0.4166666666666667,0.055555556,0.055555556,0.027777777777777776,0,0,0,0,0,0.027777777777777776,0.027777777777777776,no,1,cuomo,Andrew Cuomo,Rockaway Beach-Arverne-Edgemere
23020,7,52,1,0,0,0,0,0,0,0,1,25,86,0.29069767441860467,0.6046511627906976,0.011627906976744186,0.081395349,0,0.011627906976744186,0,0,0,0,0,0,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23021,7,115,1,1,0,0,3,2,0,0,0,14,143,0.097902098,0.8041958041958042,0.006993007,0.048951049,0.020979021,0,0.006993007,0,0,0,0.013986013986013986,0,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23022,11,61,1,0,0,0,0,0,1,0,0,17,91,0.18681318681318682,0.6703296703296703,0.010989011,0.12087912087912088,0,0,0,0,0,0,0,0.010989011,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23023,8,78,3,0,0,2,3,0,0,0,1,8,103,0.077669903,0.7572815533980582,0.029126214,0.077669903,0.029126214,0.009708738,0,0,0.019417475728155338,0,0,0,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23024,12,60,0,1,0,0,0,0,0,0,1,19,93,0.20430107526881722,0.6451612903225806,0,0.12903225806451613,0,0.010752688172043012,0.010752688172043012,0,0,0,0,0,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23025,38,168,1,3,0,0,1,0,0,1,2,31,245,0.12653061224489795,0.6857142857142857,0.004081633,0.15510204081632653,0.004081633,0.008163265,0.012244897959183673,0,0,0.004081633,0,0,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23026,16,111,4,0,0,0,2,0,0,0,0,17,150,0.11333333333333333,0.74,0.026666667,0.10666666666666667,0.013333333333333334,0,0,0,0,0,0,0,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23027,23,312,6,3,1,0,2,0,1,4,0,7,359,0.019498607242339833,0.8690807799442897,0.016713091922005572,0.064066852,0.005571031,0,0.008356546,0.002785515,0,0.011142061281337047,0,0.002785515,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23028,20,153,1,1,1,0,0,1,0,0,0,28,205,0.13658536585365855,0.7463414634146341,0.004878049,0.097560976,0,0,0.004878049,0.004878049,0,0,0.004878049,0,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23029,37,364,2,1,0,0,2,1,0,5,1,5,418,0.011961722488038277,0.8708133971291866,0.004784689,0.088516746,0.004784689,0.002392344,0.002392344,0,0,0.011961722488038277,0.002392344,0,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23030,29,210,5,0,1,1,5,0,2,3,0,14,270,0.051851852,0.7777777777777778,0.018518518518518517,0.10740740740740741,0.018518518518518517,0,0,0.003703704,0.003703704,0.011111111111111112,0,0.007407407,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23031,23,218,2,0,1,0,2,0,2,0,0,48,296,0.16216216216216217,0.7364864864864865,0.006756757,0.077702703,0.006756757,0,0,0.003378378,0,0,0,0.006756757,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23032,35,243,7,1,0,2,4,1,2,6,0,41,342,0.11988304093567251,0.7105263157894737,0.020467836,0.1023391812865497,0.011695906432748537,0,0.002923977,0,0.005847953,0.017543859649122806,0.002923977,0.005847953,no,1,cuomo,Andrew Cuomo,Far Rockaway-Bayswater
23033,1,62,6,1,1,1,1,0,2,0,0,29,104,0.27884615384615385,0.5961538461538461,0.057692307692307696,0.009615385,0.009615385,0,0.009615385,0.009615385,0.009615385,0,0,0.019230769230769232,no,1,cuomo,Andrew Cuomo,Spring Creek Park
23034,1,84,4,0,0,0,1,0,0,0,0,41,131,0.31297709923664124,0.6412213740458015,0.030534351145038167,0.007633588,0.007633588,0,0,0,0,0,0,0,no,1,cuomo,Andrew Cuomo,Howard Beach-Lindenwood
23035,1,83,5,0,0,2,2,0,0,1,0,17,111,0.15315315315315314,0.7477477477477478,0.045045045,0.009009009,0.018018018018018018,0,0,0,0.018018018018018018,0.009009009,0,0,no,1,cuomo,Andrew Cuomo,Howard Beach-Lindenwood
23036,5,69,5,0,0,2,1,0,1,2,0,53,138,0.38405797101449274,0.5,0.036231884057971016,0.036231884057971016,0.007246377,0,0,0,0.014492753623188406,0.014492753623188406,0,0.007246377,no,1,cuomo,Andrew Cuomo,Howard Beach-Lindenwood
23037,1,49,9,0,2,2,4,0,1,0,1,72,141,0.5106382978723404,0.3475177304964539,0.063829787,0.007092199,0.028368794326241134,0.007092199,0,0.014184397163120567,0.014184397163120567,0,0,0.007092199,no,1,mamdani,Zohran Mamdani,Howard Beach-Lindenwood
23038,2,67,3,1,0,2,0,0,1,5,1,36,118,0.3050847457627119,0.5677966101694916,0.025423728813559324,0.016949153,0,0.008474576,0.008474576,0,0.016949153,0.042372881,0,0.008474576,no,1,cuomo,Andrew Cuomo,Howard Beach-Lindenwood
23039,1,5,0,0,0,0,0,0,0,0,0,4,10,0.4,0.5,0,0.1,0,0,0,0,0,0,0,0,no,1,cuomo,Andrew Cuomo,South Ozone Park
23040,5,36,0,1,0,0,2,0,0,0,1,71,116,0.6120689655172413,0.3103448275862069,0,0.043103448,0.017241379310344827,0.00862069,0.00862069,0,0,0,0,0,no,1,mamdani,Zohran Mamdani,South Ozone Park
23041,2,69,3,0,0,0,0,0,0,1,0,51,126,0.40476190476190477,0.5476190476190477,0.023809523809523808,0.015873015873015872,0,0,0,0,0,0.007936508,0,0,no,1,cuomo,Andrew Cuomo,Ozone Park
23042,0,38,0,0,0,0,2,0,0,0,0,43,83,0.5180722891566265,0.4578313253012048,0,0,0.024096385542168676,0,0,0,0,0,0,0,no,1,mamdani,Zohran Mamdani,Ozone Park
23043,0,3,0,0,0,0,0,0,0,0,0,2,5,0.4,0.6,0,0,0,0,0,0,0,0,0,0,no,1,cuomo,Andrew Cuomo,Howard Beach-Lindenwood
23044,12,170,11,2,1,1,8,0,0,3,3,48,259,0.18532818532818532,0.6563706563706564,0.042471042,0.046332046,0.030888031,0.011583011583011582,0.007722008,0.003861004,0.003861004,0.011583011583011582,0,0,no,1,cuomo,Andrew Cuomo,Howard Beach-Lindenwood
23045,9,101,13,0,2,0,5,0,0,2,0,21,153,0.13725490196078433,0.6601307189542484,0.08496732,0.058823529411764705,0.032679738562091505,0,0,0.013071895424836602,0,0.013071895424836602,0,0,no,1,cuomo,Andrew Cuomo,Howard Beach-Lindenwood
23046,7,86,8,0,0,2,3,0,0,1,0,147,254,0.5787401574803149,0.33858267716535434,0.031496062992125984,0.027559055118110236,0.011811023622047244,0,0,0,0.007874016,0.003937008,0,0,no,1,mamdani,Zohran Mamdani,Ozone Park
23047,2,54,3,0,0,0,2,0,0,1,1,57,120,0.475,0.45,0.025,0.016666666666666666,0.016666666666666666,0.008333333,0,0,0,0.008333333,0,0,no,1,mamdani,Zohran Mamdani,Howard Beach-Lindenwood
